主订单编号,选购商品,收件人,收件人手机号,省,市,区,街道,详细地址,快递信息
"	4837548667669851500",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-薄荷香绿色-(5601028020596),***,***,***,***,***,***,***,中通速递-75501728679075
"	4837548564600819339",葡萄牙原装进口Renova口袋纸巾黑标12包-黑色12包-(RZH-100040),***,***,***,***,***,***,***,
"	4837548525959794349",葡萄牙原装进口Renova口袋纸巾黑标12包-黑色12包-(RZH-100040),***,***,***,***,***,***,***,
"	4837548448640624388",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-香橙香橙色-(5601028020619),***,***,***,***,***,***,***,中通速递-75501728678850
"	4837548448624692875",葡萄牙原装进口Renova口袋纸巾黑标12包-黑色12包-(RZH-100040),***,***,***,***,***,***,***,
"	4837548409977153035",葡萄牙原装进口Renova口袋纸巾黑标12包-黑色12包-(RZH-100040),***,***,***,***,***,***,***,中通速递-75501728637916
"	4837548375618718977",葡萄牙原装进口Renova口袋纸巾黑标12包-黑色12包-(RZH-100040),***,***,***,***,***,***,***,中通速递-75501728684031
"	4837548354137052892",葡萄牙原装进口Renova口袋纸巾黑标12包-黑色12包-(RZH-100040),***,***,***,***,***,***,***,中通速递-75501728685000
"	4837548272533778095",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-香橙香橙色-(5601028020619),***,***,***,***,***,***,***,
"	4837548216713172608",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-香橙香橙色-(5601028020619);[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-玫瑰香桃红-(5601028020602);[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-薄荷香绿色-(5601028020596);[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-薰衣草香淡紫-(5601028020657),***,***,***,***,***,***,***,中通速递-75501728678939;中通速递-75501728678939;中通速递-75501728678939;中通速递-75501728678939
"	4837547817279633241",葡萄牙进口Renova彩色手帕纸便携式随身装口袋纸巾18包礼盒-18包混色-(RZH-100125),***,***,***,***,***,***,***,中通速递-75501728679126
"	4837547808692485805",葡萄牙进口Renova彩色手帕纸便携式随身装口袋纸巾18包礼盒-18包混色-(RZH-100125),***,***,***,***,***,***,***,中通速递-75501728700628
"	4837547765730582236",葡萄牙进口Renova彩色手帕纸便携式随身装口袋纸巾18包礼盒-18包混色-(RZH-100125),***,***,***,***,***,***,***,
